ground_width_um,frequency_ghz,S11_abs,S21_abs,Re(PortZo_o1),Im(PortZo_o1),Re(Gamma_o1),Im(Gamma_o1),beta_o1,Re(PortZo_o2),Im(PortZo_o2),Re(Gamma_o2),Im(Gamma_o2),beta_o2
20.0,3.0,0.00189651817148755,0.999998201603648,51.03992479956132,0.0,0.0,0.0,0.0,51.46639363665072,0.0,0.0,0.0,0.0
20.0,3.00025001250063,0.0018965649505641002,0.999998201514925,51.03992190092671,0.0,0.0,0.0,0.0,51.46639358277838,0.0,0.0,0.0,0.0
20.0,3.00050002500125,0.00189661173235396,0.999998201426195,51.039918927091534,0.0,0.0,0.0,0.0,51.466393528901975,0.0,0.0,0.0,0.0
20.0,3.00075003750187,0.00189665851685693,0.999998201337458,51.03991587497776,0.0,0.0,0.0,0.0,51.4663934750215,0.0,0.0,0.0,0.0
20.0,3.0010000500024994,0.0018967053040727898,0.999998201248713,51.039912741337034,0.0,0.0,0.0,0.0,51.46639342113696,0.0,0.0,0.0,0.0
20.0,3.00125006250313,0.00189675209400133,0.999998201159962,51.03990952273871,0.0,0.0,0.0,0.0,51.466393367248344,0.0,0.0,0.0,0.0
20.0,3.00150007500375,0.00189679888664235,0.999998201071202,51.03990621555696,0.0,0.0,0.0,0.0,51.46639331335566,0.0,0.0,0.0,0.0
20.0,3.00175008750437,0.00189684568199563,0.9999982009824351,51.03990281595656,0.0,0.0,0.0,0.0,51.46639325945892,0.0,0.0,0.0,0.0
20.0,3.002000100005,0.00189689248006098,0.999998200893661,51.03989931987768,0.0,0.0,0.0,0.0,51.46639320555809,0.0,0.0,0.0,0.0
20.0,3.0022501125056302,0.00189693928083817,0.99999820080488,51.03989572301909,0.0,0.0,0.0,0.0,51.466393151653214,0.0,0.0,0.0,0.0
20.0,3.00250012500625,0.00189698608432701,0.999998200716091,51.039892020820055,0.0,0.0,0.0,0.0,51.46639309774426,0.0,0.0,0.0,0.0
20.0,3.00275013750688,0.00189703289052728,0.999998200627295,51.03988820844039,0.0,0.0,0.0,0.0,51.466393043831246,0.0,0.0,0.0,0.0
20.0,3.0030001500075,0.00189707969943878,0.999998200538492,51.039884280738725,0.0,0.0,0.0,0.0,51.466392989914155,0.0,0.0,0.0,0.0
20.0,3.00325016250813,0.00189712651106129,0.999998200449681,51.039880232248734,0.0,0.0,0.0,0.0,51.466392935993014,0.0,0.0,0.0,0.0
20.0,3.00350017500875,0.00189717332539461,0.999998200360863,51.03987605715308,0.0,0.0,0.0,0.0,51.466392882067794,0.0,0.0,0.0,0.0
20.0,3.00375018750938,0.00189722014243853,0.999998200272038,51.03987174925469,0.0,0.0,0.0,0.0,51.46639282813851,0.0,0.0,0.0,0.0
20.0,3.00400020001,0.00189726696219284,0.999998200183205,51.03986730194532,0.0,0.0,0.0,0.0,51.46639277420515,0.0,0.0,0.0,0.0
20.0,3.00425021251063,0.00189731378465734,0.9999982000943651,51.0398627081709,0.0,0.0,0.0,0.0,51.46639272026773,0.0,0.0,0.0,0.0
20.0,3.00450022501125,0.00189736060983181,0.999998200005518,51.039857960393235,0.0,0.0,0.0,0.0,51.46639266632626,0.0,0.0,0.0,0.0
20.0,3.00475023751188,0.0018974074377160499,0.999998199916663,51.03985305054775,0.0,0.0,0.0,0.0,51.466392612380695,0.0,0.0,0.0,0.0
20.0,3.0050002500125,0.00189745426830984,0.999998199827801,51.039847969996785,0.0,0.0,0.0,0.0,51.46639255843108,0.0,0.0,0.0,0.0
20.0,3.00525026251313,0.00189750110161298,0.999998199738932,51.03984270947775,0.0,0.0,0.0,0.0,51.4663925044774,0.0,0.0,0.0,0.0
20.0,3.00550027501375,0.00189754793762527,0.999998199650055,51.039837259045505,0.0,0.0,0.0,0.0,51.46639245051965,0.0,0.0,0.0,0.0
20.0,3.00575028751438,0.00189759477634649,0.999998199561171,51.03983160800838,0.0,0.0,0.0,0.0,51.466392396557836,0.0,0.0,0.0,0.0
20.0,3.006000300015,0.00189764161777643,0.99999819947228,51.039825744856735,0.0,0.0,0.0,0.0,51.46639234259196,0.0,0.0,0.0,0.0
20.0,3.00625031251563,0.00189768846191489,0.999998199383381,51.039819657183294,0.0,0.0,0.0,0.0,51.46639228862202,0.0,0.0,0.0,0.0
20.0,3.00650032501625,0.00189773530876165,0.999998199294475,51.0398133315938,0.0,0.0,0.0,0.0,51.46639223464802,0.0,0.0,0.0,0.0
20.0,3.00675033751688,0.00189778215831652,0.999998199205562,51.03980675360694,0.0,0.0,0.0,0.0,51.46639218066995,0.0,0.0,0.0,0.0
20.0,3.0070003500175,0.00189782901057928,0.9999981991166409,51.03979990754176,0.0,0.0,0.0,0.0,51.4663921266878,0.0,0.0,0.0,0.0
20.0,3.00725036251813,0.00189787586554972,0.999998199027713,51.03979277639083,0.0,0.0,0.0,0.0,51.46639207270161,0.0,0.0,0.0,0.0
20.0,3.00750037501875,0.0018979227232276301,0.999998198938778,51.03978534167691,0.0,0.0,0.0,0.0,51.46639201871134,0.0,0.0,0.0,0.0
20.0,3.0077503875193794,0.00189796958361281,0.999998198849835,51.03977758329076,0.0,0.0,0.0,0.0,51.46639196471702,0.0,0.0,0.0,0.0
20.0,3.00800040002,0.00189801644670505,0.999998198760885,51.03976947930676,0.0,0.0,0.0,0.0,51.46639191071862,0.0,0.0,0.0,0.0
20.0,3.00825041252063,0.00189806331250414,0.999998198671928,51.0397610057732,0.0,0.0,0.0,0.0,51.466391856716164,0.0,0.0,0.0,0.0
20.0,3.00850042502125,0.00189811018100987,0.9999981985829641,51.03975213647266,0.0,0.0,0.0,0.0,51.466391802709644,0.0,0.0,0.0,0.0
20.0,3.00875043752188,0.00189815705222203,0.999998198493992,51.039742842647605,0.0,0.0,0.0,0.0,51.46639174869907,0.0,0.0,0.0,0.0
20.0,3.0090004500225,0.00189820392614042,0.999998198405012,51.03973309268517,0.0,0.0,0.0,0.0,51.46639169468442,0.0,0.0,0.0,0.0
20.0,3.00925046252313,0.00189825080276482,0.999998198316026,51.03972285175371,0.0,0.0,0.0,0.0,51.46639164066571,0.0,0.0,0.0,0.0
20.0,3.00950047502375,0.0018982976820950297,0.999998198227032,51.03971208138244,0.0,0.0,0.0,0.0,51.466391586642935,0.0,0.0,0.0,0.0
20.0,3.00975048752438,0.00189834456413085,0.99999819813803,51.03970073897348,0.0,0.0,0.0,0.0,51.466391532616115,0.0,0.0,0.0,0.0
20.0,3.0100005000250003,0.0018983914488720501,0.999998198049022,51.039688777233074,0.0,0.0,0.0,0.0,51.46639147858521,0.0,0.0,0.0,0.0
