lower_lead_um,upper_lead_um,trace,maximum_absolute_magnitude_change_db,mean_signed_magnitude_change_db
100,150,"reflection St(o1,o1)",2.5310394681171147,2.526442638112385
100,150,"cross-coupling St(o2,o1)",0.5674288214536816,0.5660172384948899
100,150,"through St(o4,o1)",7.77277211832741e-05,-3.9402084712709076e-05
100,150,"through St(o3,o2)",0.0001051391210281197,-5.338320461750242e-05
150,200,"reflection St(o1,o1)",0.6317620460436615,0.6271058978666487
150,200,"cross-coupling St(o2,o1)",0.07093745562792009,-0.07011448426126735
150,200,"through St(o4,o1)",2.5038593217560564e-05,-1.2782563065888742e-05
150,200,"through St(o3,o2)",4.4654733454577167e-05,-2.279917010647233e-05
200,300,"reflection St(o1,o1)",2.3905523913999147,2.3734487278300853
200,300,"cross-coupling St(o2,o1)",0.5433444018675857,0.5388730556903628
200,300,"through St(o4,o1)",0.00014275998412103822,-7.303202290897886e-05
200,300,"through St(o3,o2)",0.00018927203253398867,-9.698804438171404e-05
300,400,"reflection St(o1,o1)",0.9428146675909019,0.9210550192664012
300,400,"cross-coupling St(o2,o1)",0.34933466915141054,0.3435568824376485
300,400,"through St(o4,o1)",7.851466768918634e-05,-4.103002693750619e-05
300,400,"through St(o3,o2)",0.00020543150637013187,-0.00010666008352648575
