lower_lead_um,upper_lead_um,trace,maximum_absolute_magnitude_change_db,mean_signed_magnitude_change_db
100,150,"literal St(o2,o1)",1.1498132032294777,1.143966552518599
100,150,"through St(o4,o1)",0.0027504723570086053,-0.001399333031241914
100,150,"through St(o3,o2)",0.002462034115880597,-0.0012537361177401426
100,150,"center-ground St(g_center,o1)",1.2688072930992291,1.264355641109213
150,200,"literal St(o2,o1)",1.024670558698773,1.0221893393395702
150,200,"through St(o4,o1)",0.002826302035778782,-0.0014382799279059986
150,200,"through St(o3,o2)",0.0027811984604548933,-0.001413913372932407
150,200,"center-ground St(g_center,o1)",1.0280097492484401,1.024889009010779
200,300,"literal St(o2,o1)",1.571418705173322,1.5621576511900552
200,300,"through St(o4,o1)",0.00614825753949666,-0.003137534258516731
200,300,"through St(o3,o2)",0.005942245394458071,-0.003034207864842439
200,300,"center-ground St(g_center,o1)",1.6097926293482274,1.602459183633913
300,400,"literal St(o2,o1)",1.283018090932309,1.2753756877759146
300,400,"through St(o4,o1)",0.006653826042986227,-0.0034041978058973457
300,400,"through St(o3,o2)",0.006785808501321357,-0.0034675487042808454
300,400,"center-ground St(g_center,o1)",1.286932987980208,1.2796129275800074
