lead_length_um,physical_mode,terminal_label,frequency_ghz,zpi_real_ohm,zpi_imag_ohm,alpha_np_per_m,beta_rad_per_m,phase_velocity_m_per_s,quasi_tem_effective_permittivity
100,seam:1,o1,5.5,66.06468810339229,0.0,0.0,292.7009629157741,118064248.38934265,6.447696587620704
100,seam:2,o2,5.5,64.04650749025134,0.0,0.0,292.2736990868265,118236842.03354073,6.428886558260487
100,seam:3,g_center,5.5,76.9675531471645,0.0,0.0,291.7602203368216,118444931.07933944,6.406317323386926
100,o3_wave_port,o3,5.5,58.87413700118638,0.0,0.0,292.7640347398658,118038813.13561502,6.4504756136666686
100,o4_wave_port,o4,5.5,58.37240959923783,0.0,0.0,292.558197358144,118121862.59536965,6.441408364313072
150,seam:1,o1,5.5,81.71157691723953,0.0,0.0,292.2345727798817,118252672.36781494,6.42716541980018
150,seam:2,o2,5.5,42.85227603096443,0.0,0.0,292.0166524911357,118340919.58347045,6.417583476697962
150,seam:3,g_center,5.5,107.06160772900611,0.0,0.0,291.2223754483715,118663681.44371569,6.382719664152929
150,o3_wave_port,o3,5.5,59.02197288671981,0.0,0.0,292.3229459175841,118216923.0027898,6.431053218909932
150,o4_wave_port,o4,5.5,58.46382832781879,0.0,0.0,292.7358523974515,118050176.99905273,6.449233789254462
200,seam:1,o1,5.5,55.214830286088926,0.0,0.0,292.9817877500617,117951083.08564292,6.460074694689406
200,seam:2,o2,5.5,48.224946210193416,0.0,0.0,292.7702642507779,118036301.52783148,6.450750126454929
200,seam:3,g_center,5.5,48.26203239135337,0.0,0.0,292.5428026926298,118128078.59708919,6.440730477184463
200,o3_wave_port,o3,5.5,58.53226190549058,0.0,0.0,292.4976072081627,118146331.24466574,6.438740549926706
200,o4_wave_port,o4,5.5,58.52400812724814,0.0,0.0,292.3929138701063,118188634.3690247,6.434132152553695
300,seam:1,o1,5.5,68.0067870948406,0.0,0.0,293.1091565663942,117899828.15381567,6.4656927293483655
300,seam:2,o2,5.5,52.40045160121031,0.0,0.0,292.7704671402651,118036219.72885455,6.4507590671842205
300,seam:3,g_center,5.5,55.216919731693004,0.0,0.0,292.3682366647669,118198610.02586204,6.433046150173888
300,o3_wave_port,o3,5.5,58.545461187614194,0.0,0.0,292.0172916279834,118340660.57126649,6.417611569058635
300,o4_wave_port,o4,5.5,58.43994903692557,0.0,0.0,291.7680374268917,118441757.68617837,6.406660615082779
400,seam:1,o1,5.5,61.51399173191316,0.0,0.0,292.4858039075036,118151099.05442205,6.4382209090455245
400,seam:2,o2,5.5,60.85318779612798,0.0,0.0,292.246637686143,118247790.50700532,6.427696121888321
400,seam:3,g_center,5.5,67.13724678435109,0.0,0.0,291.7383614641488,118453805.71843116,6.405357428108823
400,o3_wave_port,o3,5.5,58.41901071040009,0.0,0.0,291.4026793049454,118590258.92251378,6.3906255486110535
400,o4_wave_port,o4,5.5,58.668930114850745,0.0,0.0,292.4206328978374,118177431.0760111,6.435352129734031
